Date,Open,High,Low,Close,Adj Close,Volume,log_returns,rsi,ema,vwap,adx,normalized_volume,sentiment_score
2023-01-11,90.93000030517578,95.26000213623047,90.93000030517578,95.08999633789062,95.08999633789062,103126200,0.05645956080731301,58.85734699618086,87.77251917057455,93.75999959309895,16.44617362623296,1.3539370949436602,-0.09027484711259604
2023-01-12,96.93000030517578,97.19000244140625,93.5,95.2699966430664,95.2699966430664,85254800,0.0018911574433712077,59.09271885997858,88.4865646441452,95.31999969482422,16.918703735092784,1.1304036467354024,0.1130906989177068
2023-01-13,94.18000030517578,98.37000274658203,94.12000274658203,98.12000274658203,98.12000274658203,85549400,0.029476316899670684,62.65361844282559,89.40403493961537,96.87000274658203,17.586947923680796,1.1229555715362172,0.08790277875959873
2023-01-17,98.68000030517578,98.88999938964844,95.7300033569336,96.05000305175781,96.05000305175781,72755000,-0.021322326395198637,58.744091681425004,90.03698428362894,96.89000193277995,18.29452927872095,0.9626228963338959,-0.019293509423732758
2023-01-18,97.25,99.31999969482422,95.37999725341797,95.45999908447266,95.45999908447266,79570400,-0.0061616190001011146,57.66452908950778,90.55346188370929,96.71999867757161,19.021528123501056,1.1013009805017282,-0.1183016060385853
2023-01-19,94.73999786376953,95.44000244140625,92.86000061035156,93.68000030517578,93.68000030517578,69002700,-0.018822579439957077,54.484730525491116,90.85122744765847,93.9933344523112,18.860345906335738,0.964737632739733,-0.5907465443015099
2023-01-20,93.86000061035156,97.3499984741211,93.19999694824219,97.25,97.25,67481500,0.037400259951453026,59.230935346027536,91.46063435740528,95.93333180745442,19.10192307814078,0.9480202684700567,-0.013177521526813507
2023-01-23,97.55999755859375,97.77999877929688,95.86000061035156,97.5199966430664,97.5199966430664,76501100,0.0027724682514327437,59.56659278581503,92.0377164798492,97.05333201090495,19.406082907940075,1.0618782982819057,-0.37747882679104805
2023-01-24,96.93000030517578,98.08999633789062,96.0,96.31999969482422,96.31999969482422,66929500,-0.012381472357830799,57.35730427752459,92.44555297651348,96.80333201090495,19.745477335073844,0.9384644290860245,-0.29589006397873163
2023-01-25,92.55999755859375,97.23999786376953,91.5199966430664,97.18000030517578,97.18000030517578,94261600,0.008888953725914,58.51796357725933,92.89645272210036,95.3133316040039,18.813968463326766,1.2884397302086352,-0.4941924693994224
2023-01-26,98.23999786376953,99.48999786376953,96.91999816894531,99.22000122070312,99.22000122070312,68523600,0.020774687057825685,61.15777100170455,93.498695436253,98.54333241780598,18.41047227534709,0.9294930683359225,0.09499007649719715
2023-01-27,99.52999877929688,103.48999786376953,99.52999877929688,102.23999786376953,102.23999786376953,87775600,0.02998335055905419,64.66210392792902,94.33120042934982,101.75333150227863,18.718578215183165,1.167246961638031,-0.3034585388377309
2023-01-30,101.08999633789062,101.73999786376953,99.01000213623047,100.55000305175781,100.55000305175781,70691900,-0.016667823165641346,61.39909336925496,94.92346734576962,100.43333435058594,18.876238308368336,0.9303570341636109,-0.29486357513815165
2023-01-31,101.16000366210938,103.3499984741211,101.13999938964844,103.12999725341797,103.12999725341797,66527300,0.025335155126435763,64.29452439308663,95.70504162268851,102.53999837239583,19.270927444134454,0.8731770720881356,-0.7695485800504684
2023-02-01,102.52999877929688,106.23999786376953,101.23999786376953,105.1500015258789,105.1500015258789,80450100,0.0193976149644124,66.37331040599689,96.60456161346855,104.20999908447266,20.03872053550058,1.0533270199255313,-0.0851331539452076
2023-02-02,110.25,114.0,108.87999725341797,112.91000366210938,112.91000366210938,158154200,0.07120315696615197,72.78137753841,98.15746085619624,111.93000030517578,21.570443208866937,1.9563711744310623,-0.37691581109538674
2023-02-03,105.26000213623047,108.77999877929688,102.5199966430664,103.38999938964844,103.38999938964844,144374800,-0.08808283393109906,58.407783869931976,98.65579785938216,104.89666493733723,21.721773595190296,1.7052922541295887,-0.4316905339115432
2023-02-06,102.93000030517578,103.94999694824219,100.6500015258789,102.18000030517578,102.18000030517578,81945200,-0.011772272805910223,56.90424705469755,98.99143618755298,102.25999959309895,21.544200067621908,0.9686780098275452,-0.01261324342340231
2023-02-07,101.16999816894531,102.41000366210938,98.08000183105469,102.11000061035156,102.11000061035156,119501300,-0.0006852973444615529,56.81518447732105,99.28844232305761,100.86666870117188,20.967539778502537,1.3687538542314766,-0.15687263229240975
2023-02-08,102.04000091552734,102.66999816894531,98.77999877929688,100.05000305175781,100.05000305175781,75878300,-0.020380578012770365,54.18794181753753,99.36097191626715,100.5,20.461073804199394,0.8650774445783095,0.0
2023-02-09,101.31999969482422,101.77999877929688,97.56999969482422,98.23999786376953,98.23999786376953,64622500,-0.018256648878253772,51.96545099797414,99.25421248269595,99.19666544596355,19.795321540572477,0.7532853838681002,0.0
